Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Label
Patient motivation and preferences in changing co-occurring health risk behaviors in general hospital patients.,Spielmann M; Krolo-Wicovsky F; Tiede A; Krause K; Baumann S; Siewert-Markus U; John U; Freyer-Adam J,"OBJECTIVES: More than 60% of general hospital patients report ≥ 2 health risk behaviors (HRBs), i.e. tobacco smoking, at-risk alcohol use, unhealthy diet, and/or insufficient physical activity. This study investigates a) the association between numbers of HRBs and motivation to change, b) patient preferences for receiving feedback on HRBs, and c) patients' expected gain in quality of life if behavior change made. METHODS: In 2020/2021, 256 18-64-year-old general hospital patients (72.1% of eligibles) reported on their motivation to change each of their HRBs. Associations between HRB number and motivation were assessed using multivariate linear regressions. Participants ranked HRBs concerning their interest in receiving feedback and concerning their expected gain in quality of life if behavior change occurred. RESULTS: Higher HRB number was negatively related to motivation among at-risk alcohol users (p = 0.034); 24.6% expected gain in their quality of life from behavior change. Participants overall appeared more favorable to feedback about vegetable/fruit intake and physical activity. CONCLUSIONS: Unhealthier lifestyle may be accompanied by decreased motivation to change in at-risk alcohol users. In case of co-occurring HRBs, asking patients for expected gain in quality of life may help guiding intervention target. PRACTICE IMPLICATIONS: Relying on patient selection only, may often leave substance-use unaddressed.",2023,Sep,Patient Educ Couns,114,,107841,,10.1016/j.pec.2023.107841,37354731,#928,Spielmann 2023,,,0
"Hereditary colorectal, gastric, and pancreatic cancer: comprehensive review.",Seppälä TT; Burkhart RA; Katona BW,"BACKGROUND: Inheritance patterns show familial clustering of gastrointestinal cancers, and multiple germline conditions have now been identified that predispose to colorectal, gastric, and pancreatic cancers. METHODS: A narrative review based on recent relevant literature was conducted. RESULTS: Lynch syndrome, formerly known as hereditary non-polyposis colorectal cancer, increases the risk of several abdominal cancers, with the highest population prevalence. Familial adenomatous polyposis and some of the more infrequent polyposis syndromes have distinct characteristics affecting various organ-specific cancer risks. Hereditary gastric and pancreatic cancer syndromes include those also causing colorectal cancer, while additional genetic disorders predisposing only to upper gastrointestinal malignancies have been recognized more recently. Diagnosing and managing hereditary cancer syndromes requires multidisciplinary expertise and may be best managed in tertiary centres, with a need to consider patient preference and ensure shared decision-making. CONCLUSION: Several germline conditions predispose to colorectal, gastric, and pancreatic cancer, which inform identification, surveillance regimens, prevention, cascade screening, counselling, and surgical management. The authors describe developments in the hereditary origin of colorectal, gastric, and pancreatic cancer with current recommendations in surveillance and surgical management.",2023,May,BJS Open,7,3,,,10.1093/bjsopen/zrad023,37165697,#1248,Seppälä 2023,,,0
Is it preferable to administer a bronchodilator once- or twice-daily when treating COPD?,Matera MG; Rinaldi B; Ambrosio C; Cazzola M,"Nocturnal and early morning symptoms are common and uncomfortable in many patients with COPD, and are likely to affect their long-term outcomes. However, it is still debated whether it is better to give long-acting bronchodilators once- or twice-daily to symptomatic COPD patients. The functional link between circadian rhythms of autonomic tone and airway calibre explains why the timing of administration of bronchodilators in chronic airway diseases can induce different effects when taken at different biological (circadian) times. However, the timing also depends on the pharmacological characteristics of the bronchodilator to be used. Because the profile of bronchodilation produced by once-daily vs. twice-daily long-acting bronchodilators differs throughout 24 h, selecting long-acting bronchodilators may be customized to specific patient preferences based on the need for further bronchodilation in the evening. This is especially helpful for people who experience respiratory symptoms at night or early morning. Compared to placebo, evening bronchodilator administration is consistently linked with persistent overnight improvements in dynamic respiratory mechanics and inspiratory neural drive. The current evidence indicates that nocturnal and early morning symptoms control is best handled by a LAMA taken in the evening. In contrast, it seems preferable to use a LABA for daytime symptoms. Therefore, it can be speculated that combining a LAMA with a LABA can improve bronchodilation and control symptoms better. Both LAMA and LABA must be rapid in their onset of action. Aclidinium/formoterol, a twice-daily combination, is the most studies of the available LAMA/LABA combinations in terms of impact on daytime and nocturnal symptoms.",2023,Nov-Dec,Respir Med,219,,107439,,10.1016/j.rmed.2023.107439,37879449,#710,Matera 2023,,,0
Young persons and healthcare professionals experience of virtual gastroenterology consultations: a multicentre survey conducted during the COVID-19 pandemic.,Hubbard R; Brooks A; Arebi N; El-Khouly S; Kiparissi F; Mozdiak E; Muhammed R; Smith PJ; Zarate-Lopez N; Garrick V; Greenan-Barrett J; Baker S; Bradbury K; DelNero N; Narula P,"OBJECTIVE: To explore Young Persons (YP) and healthcare professionals (HCP) experiences of virtual consultations (VC) and establish whether developmentally appropriate healthcare can be delivered virtually. METHOD: YP and HCP questionnaire surveys were designed and piloted. Electronic questionnaire links were sent by post, email or text message January-April 2021 to YP aged 13-25 years old, with predefined chronic gastrointestinal conditions, attending a gastroenterology/hepatology VC. HCP undertaking VC were invited to complete staff questionnaire. Results were anonymous and collated using Excel version 2302. RESULTS: Five UK hospital trusts participated, with 35 HCP responses. Of the 100 YP completing the survey 66% were female and 34% male aged between 13 years and 25 years (median: 18 years). 13% were new appointments and 87% follow ups, 29% were by video, 69% by phone and 2% gave no response. 80% of HCP spoke to YP directly but not privately (69%). 87% of YP and 88% HCP found VC useful. 83% of YP want VC again, although 20% preferred face to face. 43% of HCP required improved phone/internet connection. 77% of YP required hospital appointments for tests following VC. CONCLUSIONS: Overall respondents were satisfied with VC, finding them useful, convenient and time saving. Successful VC rely on appropriate patient selection and availability of reliable technology. Patient preference is key which may alter with time.",2023,,Frontline Gastroenterol,14,6,491-496,,10.1136/flgastro-2022-102354,37854783,#1167,Hubbard 2023,,,0
Preference Elicitation and Treatment Decision-Making Among Men Diagnosed With Prostate Cancer: Randomized Controlled Trial Results of Healium.,Diefenbach MA; Marziliano A; Tagai EK; Pfister H; Lapitan E; Hall SJ; Vira M; Ibrahim S; Aibel K; Kutikov A; Horwitz EM; Miyamoto C; Reese AC; Miller SM,"BACKGROUND: Elicitation of patients' preferences is an integral part of shared decision-making, the recommended approach for prostate cancer decision-making. Existing decision aids for this population often do not specifically focus on patients' preferences. Healium is a brief interactive web-based decision aid that aims to elicit patients' treatment preferences and is designed for a low health literate population. OBJECTIVE: This study used a randomized controlled trial to evaluate whether Healium, designed to target preference elicitation, is as efficacious as Healing Choices, a comprehensive education and decision tool, in improving outcomes for decision-making and emotional quality of life. METHODS: Patients diagnosed with localized prostate cancer who had not yet made a treatment decision were randomly assigned to the brief Healium intervention or Healing Choices, a decision aid previously developed by our group that serves as a virtual information center on prostate cancer diagnosis and treatment. Assessments were completed at baseline, 6 weeks, and 3 months post baseline, and included decisional outcomes (decisional conflict, satisfaction with decision, and preparation for decision-making), and emotional quality of life (anxiety/tension and depression), along with demographics, comorbidities, and health literacy. RESULTS: A total of 327 individuals consented to participate in the study (171 were randomized to the Healium intervention arm and 156 were randomized to Healing Choices). The majority of the sample was non-Hispanic (272/282, 96%), White (239/314, 76%), married (251/320, 78.4%), and was on average 62.4 (SD 6.9) years old. Within both arms, there was a significant decrease in decisional conflict from baseline to 6 weeks postbaseline (Healium, P≤.001; Healing Choices, P≤.001), and a significant increase in satisfaction with one's decision from 6 weeks to 3 months (Healium, P=.04; Healing Choices, P=.01). Within both arms, anxiety/tension (Healium, P=.23; Healing Choices, P=.27) and depression (Healium, P=.001; Healing Choices, P≤.001) decreased from baseline to 6 weeks, but only in the case of depression was the decrease statistically significant. CONCLUSIONS: Healium, our brief decision aid focusing on treatment preference elicitation, is as successful in reducing decisional conflict as our previously tested comprehensive decision aid, Healing Choices, and has the added benefit of brevity, making it the ideal tool for integration into the physician consultation and electronic medical record. TRIAL REGISTRATION: ClinicalTrials.gov NCT05800483; https://clinicaltrials.gov/study/NCT05800483.",2023,Oct,J Med Internet Res,25,,e46552,ClinicalTrials.gov/NCT05800483,10.2196/46552,37862103,#769,Diefenbach 2023,,,0
Acromegaly: Pathophysiological Considerations and Treatment Options Including the Evolving Role of Oral Somatostatin Analogs.,Daniel CP; Wagner MJ; Borne GE; Plaisance CJ; Ahmadzadeh S; Aquino A; Shekoohi S; Kaye AM; Cornett EM; Kaye AD,"Acromegaly is a condition most commonly diagnosed in the fifth decade of life and has numerous treatment options. In this regard, Mycapssa(®) is the first FDA-approved oral octreotide capsule for treating acromegaly, combining the efficacy of the somatostatin receptor ligand, octreotide, with the ease of a twice-daily oral capsule. Where surgical treatment is not an option, somatostatin analogs, including octreotide, are the first line of medical treatment for acromegaly, requiring regular subcutaneous or intramuscular injections administered by a patient's healthcare provider. Octreotide capsules (Mycapssa(®)) provide an alternative to these somatostatin receptor ligand injections by combining octreotide with other excipients to produce a transient permeability enhancer technology that improves paracellular transport of octreotide across the gastrointestinal wall into the small intestine. Across multiple trials, including open-label (CH-ACM-01), double-blind placebo-controlled (CHIASMA OPTIMAL), and open-label extension of the trial period (CHIASMA OPTIMAL OLE), Mycapssa(®) octreotide capsules maintained a consistent biochemical normalization of IGF-1 and GH levels, safety profiles similar to injected somatostatin receptor ligands, and patient preference to continued treatment with octreotide capsules. While clinical trial data supports the use of octreotide capsules (Mycapssa(®)) in the pharmacological management of GH and IGF-1 levels, very little data exist regarding the drug's efficacy, tolerability, and use in female or pediatric-specific populations. A better understanding of the efficacy, application, and role of oral octreotide capsules in the long-term medical management of acromegaly in a diversity of populations is imperative to best determine the risks/benefits for the clinician.",2023,Sep,Pathophysiology,30,3,377-388,,10.3390/pathophysiology30030029,37755395,#895,Daniel 2023,,,0
Non-pharmacological and nonsurgical interventions in male urinary incontinence: A scoping review.,Zhang Y; Hou S; Qi Z; Wu S; Zhu K; Wang W,"AIMS: To describe and synthesize non-pharmacological and nonsurgical interventions for male urinary incontinence from the existing literature. METHODS: A scoping review was conducted following the methodology suggested by Arksey and O'Malley: (1) identification of the research questions; (2) identification of relevant studies using a three-step search recommended by JBI: an initial search within PubMed and CINAHL, a comprehensive literature search within PubMed, CINAHL, EMBASE, PsycINFO, Cochrane Library, and literature search of references lists; (3) study selection; (4) data extraction and charting; (5) collation, summarization, and reporting of the results. The PRISMA-ScR Checklist was used to report. RESULTS: A total of 4602 studies were identified, of which 87 studies were included. Approximately 78% were randomized controlled trials. More than 88% of the participants were men with prostate cancer. Exercising pelvic floor muscles 30 times per day for 12 weeks was the most frequently reported. Parameters of electrical stimulation were typically set up to 50 Hz and 300 μs for frequency and width of pulse, respectively, and lasted for 15 min. Pure pelvic floor muscle training, Pilates, Yoga, whole body vibration, diaphragm/abdominal muscle training, micturition interruption exercise, acupuncture, and auriculotherapy showed positive effects on reducing urinary incontinence. CONCLUSION: The findings suggested implementing pelvic floor muscle training alone before or after surgery can both prompt the recovery of continence in men after prostate cancer surgery. The decision to use biofeedback or electrical stimulation to enhance the therapeutic effect of pelvic floor muscle training should be approached with caution. More rigorous designed studies are needed to validate the effectiveness of Traditional Chinese Medicine techniques and diverse novel methods. RELEVANCE TO CLINICAL PRACTICE: Physicians and nurses need to be up to date on the latest evidence-based non-pharmacological and nonsurgical interventions in male urinary incontinence and select appropriate interventions based on available medical resources and patient preferences.",2023,Sep,J Clin Nurs,32,17-18,6196-6211,,10.1111/jocn.16749,37161602,#940,Zhang 2023,,,0
Choosing Or Losing In Behavioral Health: A Study Of Patients' Experiences Selecting Telehealth Versus In-Person Care.,Sousa J; Smith A; Richard J; Rabinowitz M; Raja P; Mehrotra A; Busch AB; Huskamp HA; Uscher-Pines L,"It is not known how the growth of telehealth has affected patients' choice of visit modalities (telehealth versus in person). In 2023 we conducted a mixed-methods study that paired a nationally representative survey of 2,071 adults (including 571 who used behavioral health services) and semistructured interviews with twenty-six people with depression or bipolar disorder. We explored patients' experiences with visit modality selection and their agency in the decision. Approximately one-third of patients receiving therapy or medication visits reported that their clinicians did not offer both modalities. Thirty-two percent reported that they did not typically receive their preferred modality, and 45 percent did not believe that their clinician considered their modality preferences. Qualitative findings revealed that some clinicians did not elicit patients' modality preferences. Perceived lack of choice affected satisfaction and rapport with clinicians and encouraged some people to seek care elsewhere. These findings highlight trade-offs in policies to preserve patient choice and approaches that clinicians can take to identify and accommodate patients' preferences.",2023,Sep,Health Aff (Millwood),42,9,1275-1282,,10.1377/hlthaff.2023.00487,37669481,#898,Sousa 2023,,,0
Real-World Evidence Comparing Vedolizumab and Ustekinumab in Antitumor Necrosis Factor-Experienced Patients With Crohn's Disease.,Kappelman MD; Adimadhyam S; Hou L; Wolfe AE; Smith S; Simon AL; Moyneur É; Reynolds JS; Toh S; Dobes A; Parlett LE; Haynes K; Selvan M; Ma Q; Nair V; Burris J; Dorand JE; Dawwas GK; Lewis JD; Long MD,"INTRODUCTION: Many patients with Crohn's disease (CD) lose response or become intolerant to antitumor necrosis factor (TNF) therapy and subsequently switch out of class. We compared the effectiveness and safety of ustekinumab to vedolizumab in a large, geographically diverse US population of TNF-experienced patients with CD. METHODS: We conducted a retrospective cohort study using longitudinal claims data from a large US insurer (Anthem, Inc.). We identified patients with CD initiating vedolizumab or ustekinumab with anti-TNF treatment in the prior 6 months. Our primary outcome was treatment persistence for >52 weeks. Secondary outcomes included (i) all-cause hospitalization, (ii) hospitalization for CD with surgery, (iii) hospitalization for CD without surgery, and (iv) hospitalization for infection. Propensity score fine stratification was used to control for demographic and baseline clinical characteristics and prior treatments. RESULTS: Among 885 new users of ustekinumab and 490 new users of vedolizumab, we observed no difference in treatment persistence (adjusted risk ratio 1.09 [95% confidence interval 0.95-1.25]). Ustekinumab was associated with a lower rate of all-cause hospitalization (adjusted hazard ratio 0.73 [0.59-0.91]), nonsurgical CD hospitalization (adjusted hazard ratio 0.58 [0.40-0.83]), and hospitalization for infection (adjusted hazard ratio 0.56 [0.34-0.92]). DISCUSSION: This real-world comparative effectiveness study of anti-TNF-experienced patients with CD initiating vedolizumab or ustekinumab showed similar treatment persistence rates beyond 52 weeks, although secondary outcomes such as all-cause hospitalizations, nonsurgical CD hospitalizations, and hospitalizations for infection favored ustekinumab initiation. We, therefore, advocate for individualized decision making in this medically refractory population, considering patient preference and other factors such as cost and route of administration.",2023,Apr,Am J Gastroenterol,118,4,674-684,,10.14309/ajg.0000000000002068,36508681,#1373,Kappelman 2023,,,0
Patient and clinician perspectives of a remote monitoring program for COVID-19 and lessons for future programs.,Chaiyachati KH; Shea JA; Ward M; Nelson MN; Ghosh M; Reilly J; Kelly S; Chisholm DL; Barbati Z; Hemmons JE; Abdel-Rahman D; Ebert JP; Xiong RA; Snider CK; Lee KC; Friedman AB; Meisel ZF; Kilaru AS; Asch DA; Delgado MK; Morgan AU,"COVID Watch is a remote patient monitoring program implemented during the pandemic to support home dwelling patients with COVID-19. The program conferred a large survival advantage. We conducted semi-structured interviews of 85 patients and clinicians using COVID Watch to understand how to design such programs even better. Patients and clinicians found COVID Watch to be comforting and beneficial, but both groups desired more clarity about the purpose and timing of enrollment and alternatives to text-messages to adapt to patients' preferences as these may have limited engagement and enrollment among marginalized patient populations. Because inclusiveness and equity are important elements of programmatic success, future programs will need flexible and multi-channel human-to-human communication pathways for complex clinical interactions or for patients who do not desire tech-first approaches.",2023,Jun,BMC Health Serv Res,23,1,698,,10.1186/s12913-023-09684-1,37370059,#1148,Chaiyachati 2023,,,0
A meta-analysis and trial sequential analysis comparing nonoperative versus operative management for uncomplicated appendicitis: a focus on randomized controlled trials.,Brucchi F; Bracchetti G; Fugazzola P; Viganò J; Filisetti C; Ansaloni L; Dal Mas F; Cobianchi L; Danelli P,"BACKGROUND: The aim of this study is to provide a meta-analysis of randomized controlled trials (RCT) comparing conservative and surgical treatment in a population of adults with uncomplicated acute appendicitis. METHODS: A systematic literature review was performed according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. A comprehensive search was conducted in MEDLINE, Embase, and CENTRAL. We have exclusively incorporated randomized controlled trials (RCTs). Studies involving participants with complicated appendicitis or children were excluded. The variables considered are as follows: treatment complications, complication-free treatment success at index admission and at 1 year follow-up, length of hospital stay (LOS), quality of life (QoL) and costs. RESULTS: Eight RCTs involving 3213 participants (1615 antibiotics/1598 appendectomy) were included. There was no significant difference between the two treatments in terms of complication rates (RR = 0.66; 95% CI 0.61-1.04, P = 0.07, I(2) = 69%). Antibiotics had a reduced treatment efficacy compared with appendectomy (RR = 0.80; 95% CI 0.71 to 0.90, p < 0.00001, I(2) = 87%) and at 1 year was successful in 540 out of 837 (64.6%, RR = 0.69, 95% confidence interval 0.61 to 0.77, p < 0.00001, I(2) = 81%) participants. There was no difference in LOS (mean difference - 0.58 days 95% confidence interval - 1.59 to 0.43, p = 0.26, I(2) = 99%). The trial sequential analysis has revealed that, concerning the three primary outcomes, it is improbable that forthcoming RCTs will significantly alter the existing body of evidence. CONCLUSIONS: As further large-scale trials have been conducted, antibiotic therapy proved to be safe, less expensive, but also less effective than surgical treatment. In order to ensure well-informed decisions, further research is needed to explore patient preferences and quality of life outcomes.",2024,Jan,World J Emerg Surg,19,1,2,,10.1186/s13017-023-00531-6,38218862,#475,Brucchi 2024,,,0
Frequency and clinical outcomes of pharmacist-driven switching from warfarin to direct oral anticoagulants in an underserved patient population: A retrospective cohort study.,Bartholomew RR; Noble BN; Stanislaw JJ; Viehmann M; Herink MC; Furuno JP,"PURPOSE: Direct oral anticoagulant (DOAC) medications have improved safety, efficacy, and laboratory monitoring requirements compared to warfarin. However, available data are limited on the frequency and clinical outcomes of pharmacist-driven warfarin-to-DOAC switches. We aimed to quantify the frequencies and rationale of warfarin-to-DOAC switches in an underserved population. We also assessed clinical outcomes and compliance with recommended laboratory monitoring after switches. METHODS: This retrospective cohort study included adult (age 18 years or older) patients on warfarin who were assessed by a clinical pharmacist for switch appropriateness to a DOAC. Study data were collected via manual chart review and included demographics, comorbid illnesses, switch status, the rationale for or against switching, incidence of thromboses and bleeds within 6 months of the switch assessment, and the time to the first complete blood count and renal and hepatic function tests after the switch. Statistical analysis utilized descriptive statistics, including the mean and SD, median and interquartile range, and frequencies and percentages. RESULTS: Among 189 eligible patients, 108 (57%) were switched from warfarin to a DOAC. The primary rationales for switching were less monitoring (64%) and labile international normalized ratio (32%). The main reason against switching was DOAC inappropriateness (53%), such as in morbid obesity (14%). Patient preference was commonly cited in both groups (54% and 36%, respectively). The overall incidence of thrombotic events (9%) and bleeds (15%) after switch assessment was low. Laboratory monitoring after switches was consistent with current recommendations. CONCLUSION: No increase in harm was observed 6 months after switch assessment when pharmacists at a family medicine clinic switched underserved patients from warfarin to DOACs.",2023,Aug,Am J Health Syst Pharm,80,Suppl 3,S103-S110,,10.1093/ajhp/zxac375,36525478,#972,Bartholomew 2023,,,0
The experience of patients with lung cancer during the COVID-19 pandemic and its importance for post-pandemic outpatient cancer care planning: A cross sectional study exploring the roles of age and frailty.,Gomes F; Taylor S; Scanlon L; Coombermoore J; Eastwood C; Stanworth M; Williamson A; Barnes C; Yorke J,"INTRODUCTION: The COVID-19 pandemic impacted the care and experiences of people with cancer, but it presented an opportunity to improve the delivery of outpatient care post-pandemic. MATERIALS AND METHODS: We performed an observational cross-sectional study with people with lung cancer throughout the COVID-19 pandemic. A survey investigated patients' experiences and preferences regarding the delivery of cancer care to plan for post-pandemic care, as well as the pandemic's impact on their functional status (physical and psycho-social), exploring the role of age and frailty. RESULTS: Amongst 282 eligible participants, 88%, 86%, and 59% of patients reported feeling appropriately supported during the pandemic by their cancer centre, friends/family, and primary care services, respectively. Remote oncology consultations were delivered to 90% of patients during the pandemic, of which 3% did not meet patients' expectations. Regarding post-pandemic outpatient care preferences, face-to-face appointments were preferred by 93% for the first appointment, by 64% when discussing imaging results, and by 60% for reviews during anti-cancer treatments. Older patients aged 70 years and above were more likely to favour face-to-face appointments (p = 0.007), regardless of their frailty status. Patient preferences changed over time, with the more recent participants preferring remote appointments during anti-cancer treatments (p = 0.0278). Regarding the pandemic's impact, abnormal levels of anxiety and depression were found in 16% and 17% of patients, respectively. Younger patients experienced higher abnormal levels of anxiety and depression (p = 0.036, p = 0.021). Amongst the older sub-group, those with frailty had higher levels of anxiety and depression (p < 0.001). Amongst all participants, 54% reported a considerable negative impact from the pandemic on different aspects of their daily life, particularly emotional and psychological health and sleep patterns, which were more marked in younger patients and the older sub-group with frailty. Older patients without frailty reported the least impact on their functional status. DISCUSSION: There is a need for more personalised outpatient consultation options during cancer care. Whilst there is a preference for face-to-face consultations for older patients, following the pandemic there is a growing acceptance of remote consultations particularly during anti-cancer treatment. Older patients with lung cancer without frailty were less affected by the pandemic than those with frailty and younger patients, requiring less support from healthcare services.",2023,Apr,J Geriatr Oncol,14,3,101449,,10.1016/j.jgo.2023.101449,36870223,#1355,Gomes 2023,,,0
Effects of Participant's Choice of Different Digital Interventions on Outcomes for Binge-Spectrum Eating Disorders: A Pilot Doubly Randomized Preference Trial.,Linardon J; Shatte A; Messer M; McClure Z; Fuller-Tyszkiewicz M,"It is unclear whether offering individuals a choice between different digital intervention programs affects treatment outcomes. To generate initial insights, we conducted a pilot doubly randomized preference trial to test whether offering individuals with binge-spectrum eating disorder a choice between two digital interventions is causally linked with superior outcomes than random assignment to these interventions. Participants with recurrent binge eating were randomized to either a choice (n = 77) or no-choice (n = 78) group. Those in the choice group could choose one of the two digital programs, while those in the no-choice group were assigned a program at random. The two digital interventions (a broad and a focused program) took 4 weeks to complete, were based on cognitive-behavioral principles and have demonstrated comparable efficacy, but differ in scope, content, and targeted change mechanisms. Most participants (79%) allocated to the choice condition chose the broad program. While both groups experienced improvements in primary (Eating Disorder Examination Questionnaire global scores and number of binge eating episodes over the past month) and secondary outcomes (dietary restraint, body image concerns, etc.), no significant between-group differences were observed. The two groups did not differ on dropout rates, nor on most indices of intervention engagement. Findings provide preliminary insights towards the role of client preferences in digital mental health interventions for eating disorders. Client preferences may not determine outcomes when digital interventions are based on similar underlying principles, although larger trials are needed to confirm this.",2023,Mar,Behav Ther,54,2,303-314,,10.1016/j.beth.2022.09.007,36858761,#1438,Linardon 2023,,,0
Preferences for cardiovascular and pulmonary rehabilitation care: A discrete choice experiment among patients in Lebanon.,Farah R; Groot W; Pavlova M,"OBJECTIVE: Patient preferences are important in designing optimal rehabilitation care. The aim of this study is to assess preferences for rehabilitation care among two groups of respondents. DESIGN: An online discrete choice experiment survey was carried out. SETTING: We use data for Lebanon, a country where rehabilitation care is still underdeveloped. PARTICIPANTS: Patients who have undergone or are currently undergoing rehabilitation treatment (users) and those who have not (yet) used rehabilitation care (non-users). INTERVENTION: Patients were asked to repeatedly choose between two hypothetical rehabilitation care packages with seven different attributes: attitude of the staff, travel time to clinic, out-of-pocket costs, medical equipment, rehabilitation plan, additional lifestyle education session, and support during rehabilitation care. MAIN MEASURES: Preference heterogeneity among patients with different characteristics was investigated using random effect binary logistic regression (software package Stata 15). RESULTS: In total, 126 respondents completed the survey. The most preferred attribute was an informal and friendly attitude of the staff followed by modern medical equipment, additional lifestyle education session via eHealth, and support during the rehabilitation program via phone call or SMS. Respondents were less in favor of going to the rehabilitation clinic and paying additional out-of-pocket costs for the rehabilitation treatment. This rank order was similar between users and non-users. CONCLUSION: Preferences of patients regarding the type of program chosen (eHealth or at clinical-based) need to be included in future rehabilitation programs. Improving patient experience with rehabilitation programs by giving the best care based on a patient-centered approach is essential.",2023,Jul,Clin Rehabil,37,7,954-963,,10.1177/02692155221149371,36583599,#1135,Farah 2023,,,1
A real-world retrospective single-centre study of the cost-effectiveness and long-term outcomes of pegylated interferon for chronic hepatitis B.,Congly SE; Syed A; Haylock-Jacobs S; Israelson H; Pinto J; Williams S; Lee SS; Coffin CS,"BACKGROUND: Pegylated interferon (Peg-IFN) is recommended as first-line therapy for chronic hepatitis B (CHB) but has significant side effects and is rarely used compared to oral nucleos(t)ide analogues (NA). There are limited recent clinical efficacy or economic analysis data comparing approved CHB therapy in North America. METHODS: This retrospective study examined clinical outcomes, off-treatment durability, and cost-effectiveness of Peg-IFN versus NA for CHB. Demographic (age, sex, ethnicity), clinical data (i.e., liver tests, hepatitis B virus DNA, serology, transient elastography) and documented side effects were collected by retrospective chart review of patients followed in the University of Calgary Liver Unit who received Peg-IFN therapy from January 2007 to December 2020. The cost-effectiveness of Peg-IFN versus NA therapy was modelled over a 10-year time horizon. RESULTS: Sixty-eight CHB patients were treated with Peg-IFN (median age 45.65, 74% male, 84% Asian); 50/68 (74%) completed 48 weeks of treatment with a median follow-up of 6.54 years (interquartile range 5.07). At the last known follow-up, 23/68 (34%) have not required NA treatment and one had HBsAg loss; 27 have been started on NA. Predictors of obtaining a sustained virological response included being hepatitis B e antigen-negative at treatment end and a quantitative hepatitis B surface antigen <1000 IU/mL. Economic modelling showed that finite Peg-IFN was not cost-effective versus NA at a 10-year time horizon. CONCLUSIONS: PEG-IFN remains a potential treatment for CHB although there is a significant intolerance/failure rate. Using PEG-IFN based on patient preference is reasonable and optimal patient selection may improve treatment cost-effectiveness.",2023,Oct,Can Liver J,6,3,305-313,,10.3138/canlivj-2022-0043,38020196,#757,Congly 2023,,,0
Patient preferences of patient selection criteria for upper extremity vascularized composite allotransplantation: A qualitative study.,Vanterpool KB; Gacki-Smith J; Downey MC; Nordstrom M; Luken M; Riggleman T; Fichter S; Altema W; Jensen SE; Dumanian GA; Cooney CM; Levan ML; Tintle S; Brandacher G; Gordon EJ,"BACKGROUND: Upper extremity vascularized composite allotransplantation is a life-enhancing reconstructive treatment option that aims to improve recipients' quality of life and maximize function. This study assessed upper extremity vascularized composite allotransplantation patient selection criteria perceptions among individuals with upper extremity limb loss. The perceptions of individuals with upper extremity limb loss on patient selection criteria may enable vascularized composite allotransplantation centers to improve criteria to avoid mismatched expectations about the posttransplant vascularized composite allotransplantation experience and outcomes. Realistic patient expectations may increase patient adherence, improve outcomes, and reduce vascularized composite allotransplantation graft loss. METHODS: We conducted in-depth interviews with civilian and military service members with upper extremity limb loss and upper extremity vascularized composite allotransplantation candidates, participants, and recipients from three US institutions. Interviews assessed perceptions of patient selection criteria for suitability as a candidate for upper extremity vascularized composite allotransplantation. Thematic analysis was used to analyze qualitative data. RESULTS: A total of 50 individuals participated (66% participation rate). Most participants were male (78%), White (72%), with a unilateral limb loss (84%), and a mean age of 45 years. Six themes emerged regarding upper extremity vascularized composite allotransplantation patient selection criteria, including support for candidates who: (1) are of younger age, (2) are in good physical health, (3) have mental stability, (4) are willing to ""put in the work,"" (5) have specific amputation characteristics, and (6) have sufficient social support. Patients had preferences about selecting candidates with unilateral versus bilateral limb loss. CONCLUSIONS: Our findings suggest that numerous factors, including medical, social, and psychological characteristics, inform patients' perceptions of patient selection criteria for upper extremity vascularized composite allotransplantation. Patient perceptions of patient selection criteria should inform the development of validated screening measures that optimize patient outcomes.",2023,,SAGE Open Med,11,,20503121231181236,,10.1177/20503121231181236,37342616,#1160,Vanterpool 2023,,,0
