Topic	Count	Name	Representation	Representative_Docs
20	16	20_bear_bile_bear bile_medical	['bear', 'bile', 'bear bile', 'medical', 'price', 'diagnostic testing', 'farmed', 'wild bear', 'score', 'medical device']	['appraising method medical product lifecycle empirical comparison incorporating pp information become increasingly many stakeholder however little guidance assessment method including exploration elicitation quantitative method suitable different stage medical product lifecycle mplc aimed use empirical approach ass attribute pp assessment method identify method suitable decisionmakers need different stage mplc fourstep cumulative approach taken identify criterion appraise method qmethodology exercise determine numerical weight ascertain relative importance criterion analytical hierarchy process ass performance pp method applying weight consulting international research expert literature compare rank method within taxonomy group reflecting similar technique identify promising method qmethodology exercise completed stakeholder pp experience analytical hierarchy process completed stakeholder pp experience additionally research expert consulted ass performance pp method thirteen promising exploration elicitation method identified likely meet decisionmakers need additionally eight method decisionmakers might consider identified although appeared appropriate stage mplc transparent weighted approach comparison method support decisionmakers researcher selecting pp method appropriate given application', 'contingent valuation otolaryngology ophthalmology emergency department acute specialty specialty emergency department ed provide unique mechanism delivery add medical system known evaluation determine direct impact resource allocation directtospecialist ass feasibility contingent valuation cv methodology willingnesstopay wtp evaluate specialty emergency service context ophthalmology otolaryngologyspecific ed contingent valuation standalone otolaryngology ophthalmology ed englishspeaking adult presenting dedicated otolaryngology ophthalmology ed wtp question assessed payment card format reference alternative modality ie general ed analyzed multivariate regression validated wtp administered october october sociodemographic data level distress referral data income wtp total ed responded wtp ophthalmology otolaryngology included female mean age year common reason seeking facility reputation specialty ear nose throat ophthalmology mean wtp specialtyspecific ed service ophthalmology otolaryngology overall ci without significant difference group absolute difference ci selfreported level distress higher ear nose throat v ophthalmology absolute difference likert scale ci neither level distress income demographic characteristic influenced wtp higher estimate total visit cost likely higher wtp coefficient se adjusted model eye ear nose throat complaint place mean explicit specialty emergency service per visit relative general emergency ultimately cv data wtp methodology useful valuing monetary term help inform statewide resource allocation availability directtospecialist', 'stated investigation chinese demand farmed v wild bear bile farming animal plant recently considered merely efficient plentiful supply product also mean protecting wild population trade amongst nascent farming product might listed bear bile bear bile exploited traditional chinese medicinalists millennium since consumer option illegal wild gall bladder bile extracted caged live bear acid synthesised chemically despite alternative bear continue harvested wild paper use stated technique random sample chinese population estimate demand function wild bear bile without competition farmed bear bile find pay considerably wild bear bile farmed wild bear bile low price elasticity cross price elasticity farmed bear bile ability farmed bear bile reduce demand wild bear bile best limited prevailing price close zero opposite effect demand function estimated suggest price elasticity wild bear bile lower competing farmed bear bile option available mean incumbent product actually sell item higher price competing alone market finding broader interest behavioural economist argue one explanation product increase price le impact wildlife farming debate indicates price introduction farmed competition might increase demand wild product']
21	16	21_dementia_caregiver_pwd_elderly	['dementia', 'caregiver', 'pwd', 'elderly', 'informal caregiver', 'ad', 'person informal', 'alzheimers', 'plwd', 'cognitive impairment']	['priority people living dementia cognitive impairment knowledge priority people living dementia pwd might help individualize support could improve patientrelated outcome aimed summarize pwd people mild cognitive impairment mci considering relevant aspect everyday life conducted literature included published english january october inclusion criterion elicited directly pwd mci used international consortium outcome management set dementia categorize following topic status b symptom functioning quality life c sustainability initially identified met inclusion criterion preferred informed diagnosis early possible especially anticipatory planning ranked caregiver quality life highest priority preferred burden others caregiver mood functional status distressing behavior furthermore pwd eager participate medical especially creating everyday life routine pwd preferred quality life selfefficacy emotional wellbeing institutionalized pwd preferred individualized personcentered according sustainability pwd preferred maintain close bond family end life wanted treated empathy provides essential insight cognitively impaired rarely considered support service evaluate whether considering daily living improve patientreported outcome', 'influence age valuation old prefer functional independence younger old prefer le morbidity ass effectiveness geriatric intervention person informal caregiver composite endpoint topicscep developed based valuation person informal caregiver explored influence raters age weight topicsceps component vignette conducted raters mean age standard deviation year female profile person used obtain weight topicscep component morbidity functional limitation emotional wellbeing pain experience cognitive functioning social functioning selfperceived selfperceived quality life raters assessed general wellbeing vignette scale mixed linear regression interaction term used explore effect raters age weight interaction effect age topicscep component showed raters gave significantly weight functional limitation social functioning le morbidity pain experience compared younger raters researcher examining effectiveness elderly need consider discrepancy valuation younger old old selecting establishing measure professional need aware discrepancy well reason highly recommend geriatric', 'comparing state person informal caregiver healthcare professional vignette person informal caregiver surveyminimum dataset topicsmds collect uniform information research project funded dutch national elderly programme compare effectiveness project preferenceweighted measure combined multidimensional topicsmds outcome composite endpoint topicscep developed based state person informal caregiver derive weight topicsceps component based state healthcare professional investigate whether weight differ discipline differ person informal caregiver vignette conducted assessed general wellbeing person described vignette scale mixed linear analysis used obtain compare weight eight topicscep component morbidity functional limitation emotional wellbeing pain experience cognitive problem social functioning selfperceived selfperceived quality life qol overall healthcare professional person informal caregiver participated weight significantly different discipline however professional weight differed significantly person informal caregiver morbidity functional limitation given weight person informal caregiver healthcare professional opposite true pain experience social functioning selfperceived qol recognize discrepancy state various stakeholder correctly interpret studying effectiveness intervention elderly establish appropriate healthcare policy furthermore strive include person process approach']
22	16	22_lung cancer_survival_longterm effect_pfs	['lung cancer', 'survival', 'longterm effect', 'pfs', 'dyspnea', 'copd', 'shortterm effect', 'longterm', 'shortterm', 'progressionfree survival']	['line regarding lung cancer discretechoice growing literature informs research regulatory science assessment explored vary across differing experience sought quantify benefit risk lung cancer test differed line lot elicited dce following rigorous stakeholder engagement dce spanned five attribute three level progressionfree survival pfs shortterm side effect longterm side effect developing lateonset side effect mode administration moa defined across relevant level defficient design used generate block pairedprofile task respondent asked profile preferred preferred optout mixed logit model controlling optout used estimate tradeoff pfs attribute compared across two group receiving lot receiving lot received lot received lot stated differed group overall specifically pfs moderate shortterm side effect longterm side effect chance lateonset side effect receiving differing amount lot willing trade different amount pfs change moderate mild shortterm side effect moderate mild longterm side effect also differing amount tradeoff acceptable group decrease lateonset side effect decrease moa infusion every pill taken daily time pill taken daily without food pill taken daily time demonstrate difference based experience lot suggesting experience impact data become component difference considered recommending therapy different stage journey understanding regarding essential informing ensuring plan consistent goal', 'lung cancer estimating acceptable tradeoff benefit side effect increased option longer survival lung cancer generated increased interest previous lung cancer fully explored heterogeneity demonstrate method explore heterogeneity lung cancer caregiver trade progressionfree survival pfs side effect caregiver attending national lung cancer meeting completed discretechoice dce designed collaboration answered task described across pfs shortterm side effect four longterm side effect side effect coded onelevel change severity nonemild mildmoderate moderatesevere mixed logit model willingnesstopay space estimated heterogeneity acceptable tradeoff time equivalent pfs side effect reported following quality indicator united state food drug administration guidance total caregiver participated dce would trade month pfs ci ci le severe functional longterm side effect month le severe physical longterm effect ci cognitive longterm effect ci month ci le severe emotional longterm effect month ci le severe shortterm side effect would accept severe functional longterm effect additional month pfs would trade pfs change shortterm side effect longterm side effect although heterogeneity existed lung cancer treatment offer le pfs also le severe side effect might acceptable', 'measuring healthy individual place generous insurance coverage severe disease stated adult diagnosed without lung cancer compare ex ante pay wtp healthy individual generous insurance coverage novel lung cancer treatment wtp coverage individual lung cancer administered cohort u adult healthy individual without cancer individual diagnosed lung cancer multiple random staircase design used elicit respondent wtp coverage novel lung cancer associated survival gain healthy individual invited completed lung cancer cohort invited completed mean age cohort sd sd year female respectively respondent healthy lung cancer cohort willing pay confidence interval ci ci per month respectively coverage novel providing survival versus standardofcare survival accounting likelihood healthy individual diagnosed lung cancer future estimated total new lung cancer treatment come wtp healthy individual place generous insurance coverage total societal pay lung cancer much higher conventionally thought healthy individual riskaverse highly lung cancer treatment available future']
23	15	23_ibd_alcohol_substance_substance use	['ibd', 'alcohol', 'substance', 'substance use', 'use disorder', 'smoking', 'auds', 'sdm', 'psychological intervention', 'drinking']	['inflammatory bowel computerised versus facetoface psychological intervention psychological intervention effective treatment medical illness inflammatory bowel ibd however barrier widespread implementation lack therapist high cost stigma poor accessibility remote area computerised psychological intervention overcome barrier aim measure compare ibd computerised versus facetoface psychological intervention one hundred two ibd given support questionnaire measured confidence participate computerised facetoface psychological intervention well number session would willing participate ibd likely want take part computer based facetoface intervention versus furthermore ibd willing participate session computerised facetoface intervention median v younger female significantly higher acceptability computerised intervention female found male duration associated participate intervention ibd appear willing participate computerised faceto face psychological intervention future attempt effectiveness computerised psychological intervention ibd', 'patientcentered primary adult high auds choosing healthier drinking option primary alcohol use disorder auds never receive alcohol expert recommended management auds primary choosing healthier drinking option primary randomized controlled effectiveness novel intervention primary high auds report describes conceptual scientific foundation model critical element design consistent template intervention description replication tidier recruitment baseline characteristic enrolled sample intervention multicontact extended counseling intervention based chronic model motivational interviewing evidencebased option managing auds designed practical primary outpatient received veteran affair primary site pacific northwest reported frequent heavy drinking drinksday woman men recruited half would offered additional alcoholrelated nurse nurse offered patientcentered including proactive outreach engagement repeated brief motivational intervention monitoring without alcohol biomarkers medication auds andor specialty alcohol appropriate per nurse practitioner available prescribe medication auds total consented participate consenting men mean age range met dsmiv criterion alcohol abuse dependence many also screened positive tobacco use depression anxiety disorder nontobacco drug use disorder baseline median audit score median readiness change drinking score iqr likert scale tested patientcentered intervention auds recruited primary high auds spectrum severity comorbidity readiness change drinking registration registered clinicaltrialgov', 'gender difference selfreported use perceived efficacy interest future use nicotinedependence treatment crosssectional adult tertiary center nicotine dependence assessed effectiveness nicotinedependence treatment ndts alone combination reported men woman variable response treatment variation therapeutic response highlight need explore genderspecific ndts including complementary alternative medicine cam become increasingly popular u population cessation tobacco use aim ass gender difference selfreported use perceived efficacy interest future use ndts including cam outpatient setting crosssectional conducted men woman tertiary ndt clinic primary inclusion criterion ability participate data included men woman mean age men year woman year woman men reported use nicotinereplacement nrt prescription medication counselinggroup support men woman nrt commonly used type pharmacologic patch popular significantly greater proportion woman men perceived nicotine inhaler efficacious v p significant gender difference found nrts nonnrt method bupropion sustained release sr counselinggroup support used significantly woman men v v respectively compared men significantly greater proportion woman reported current previous use cam nicotine abstinence expressed interest future use cam v v sample ndt clinic significantly woman men reported previous use bupropion sr counseling cam woman men expressed interest future use cam based finding improved understanding genderbased difference use conventional nonconventional ndts might improve rate success nicotinecessation effort woman']
24	15	24_advance_advance planning_wish_surrogate knowledge	['advance', 'advance planning', 'wish', 'surrogate knowledge', 'life', 'surrogate', 'asian', 'proxy', 'family member', 'advanced illness']	['factor influencing initial advance planning discussion timing crosscultural mixedmethods although advance planning discussion increasingly accepted worldwide ideal timing uncertain cultural factor pertain evaluate timing factor affecting initiation advance planning discussion adult japan taiwan mixedmethods questionnaire quantitatively determine percentage willing initiate advance planning discussion four stage illness trajectory ranging healthy undeniably ill identify perception underlying preferred timing aged visiting outpatient department four japanese two taiwanese hospital randomly recruited overall respondent japan taiwan accepted discussion illness japan factor associated illness younger age rejection lifesustaining treatment taiwan age stronger social support rejection lifesustaining treatment four main category attitude extracted common welcomed discussion wise precaution response first category outnumbered postponement discussion imminent end life acceptance universal inevitability death discussion healthcare provider initiative majority willing begin discussion severely compromised one five unwilling begin clearly facing death promote advance planning healthcare provider must mindful factor associated acceptance reluctance initiate advance planning', 'asian perspective advance planning mixedmethod conceptual framework asian healthcare professional hold family play essential role advance planning systematically synthesize evidence regarding asian perspective advance planning underlying motif mixedmethod development conceptual framework prospero embase medline web science google scholar searched published july included concerning seriouslyill asian perspective advance planning underlying motif engaging engaging thirtysix article included quantitative highincome country thirtynine ninety percent asian willing engage advance planning framework highlighted influenced knowledge advance planning also belief regarding consequence whether concept accordance faith family physician wish presence barrier essential consideration engagement actively engaged alternatively delegating autonomy others timing whether conversation would documented essential first step engaging advance planning educate disease asian various belief advance planning accommodated especially regarding role timing documentation', 'experience perspective people regarding advance planning metasynthesis indicated family member professional know predict relative although advance planning encouraged people prepare endoflife still challenging understand experience perspective people regarding advance planning metasynthesis conducted cinahl medline embase psycinfo database searched total article critically appraised thematic synthesis undertaken four theme identified life versus death internal versus external benefit versus burden controlling versus controlled view life death influenced people discus future characteristic experience status family relationship available resource also affected plan advance planning people needed balance benefit burden advance planning judge ability make endoflife people perspective experience advance planning varied often conflicted cultural difference amplified variance people truthful information available resource family support needed enable people maintain dignity end life view life death people different culture compared assist professional understand people attitude toward advance planning thus develop appropriate strategy promote advance planning different culture']
25	14	25_breast_breast cancer_sdm_adjuvant	['breast', 'breast cancer', 'sdm', 'adjuvant', 'research biopsy', 'screening mammography', 'adjuvant breast', 'iort', 'mammography', 'recommendation']	['elicitation second half process need attention known use ptda combined advice professional use enhance involvement however need knowledge respect intentionbehaviour gap aim analyse experience sdm process find clue close gap part pilot aiming implement sdm early adopter breast cancer team given access personalised ptda breast cancer team instructed deliver ptda interviewed experience ptda sdm general experienced sdm though certain extent talk option talk commonly experienced however elicitation talk rare ptda used majority indicating useful especially recall information given appreciated contribution breast cancer nurse sdm process considered true case manager easy approach supportive although felt wellinformed satisfied riskcommunication elicitation appeared limited nonexistent recommend breast cancer team divide task sdm process reallocate elicitation nurse welldefined pathway', 'impact behaviour oncology pulmonary medicinea field based reallife observation ptda often developed evaluated support sdm patientcentred approach ptda template developed support two different sensitive adjuvant breast cancer diagnostic workup lung cancer aim explore whether ptda improved sdm supported patientcentred approach point view reallife observation conducted validated instrument option three nurse conducted observation consultation two different setting consisted baseline cohort phase intervention cohort phase phase standard consultation observed subsequently ptda introduced phase consultation clinician ptda observed twentynine observation conducted phase phase ptda increased overall option score significantly adjuvant breast cancer diagnostic workup lung cancer item option instrument regarding conversation obtain sdm higher increase score compared item regarding patientcentred approach reallife observation use validated tool provided comprehensive knowledge ptda affect sdm consultation applying ptda resulted significant overall increase sdm behaviour adjuvant breast cancer surgery diagnostic workup case small suspicion lung cancer conclusion ptda support sdm consultation independently type department', 'breast cancer disparity u woman impact breast cancer immense woman literature reveals even greater impact woman color socially economically disadvantaged population persistent difference incidence undoubtedly due multiple factor one element poor treatment shown related best outcome le likely chosen certain group woman effect economic cultural factor breast cancer thoroughly explored factor must understood professional intervene effectively address disparity improve breast cancer outcome woman breast cancer literature conducted order describe breast cancer disparity united state delineate factor might contribute disparity ass possible mitigating factor predominant cause begin decide intervention might allay factor contribute disparity breast cancer incidence mortality breast cancer incidence disparity united state due multiple interacting factor include information different type emotional context level involvement complex literacy level involvement embedded social economic reality key component breast cancer contribute breast cancer disparity united state current model generalizable breast cancer optimal breast cancer outcome woman depend culturally ethnically appropriate professional support']
26	13	26_ra_arthritis_rheumatologist_morning stiffness	['ra', 'arthritis', 'rheumatologist', 'morning stiffness', 'rheumatoid arthritis', 'rheumatoid', 'gps rheumatologist', 'arthritis ra', 'oa', 'osteoarthritis']	['space precision medicine exploring perspective rheumatoid arthritis precision medicine rheumatoid arthritis ra creates new opportunity involve early identification accurate indicator trajectory aim explore perspective patientcentredness precision medicine ra semistructured interview conducted explore perspective new personalised approach ra interview guide developed together research partner professional invitation interview sent mobile application interview oneonone interview guide openended question interview conducted digitally october via zoom telephone depending ra purposively recruited eligible ra diagnosis aged year understood expressed swedish researcher know prior interview expressed desire need active role precision medicine together healthcare professional order work need information potential option ability express individual plan identification personal goal also identified two requirement healthcare professional precision medicine safe environment express personal matter twoway communication healthcare professional communication healthcare professional need focused individual expressed need order increase patientcentredness become reality research needed design multifaceted implementation strategy support healthcare professional increase patientcentredness throughout personalisation', 'elicitation state utility associated differing duration morning stiffness rheumatoid arthritis specific symptom rheumatoid arthritis ra including joint stiffness functional disability severe morning morning stiffness negative impact healthrelated qualityoflife hrqol however hrqol correlated morning stiffness duration unknown objective obtain populationbased utility value associated different duration morning stiffness ra timetradeoff tto approach used elicit utility value four different state h differed morning stiffness duration one hundred nine member uk general public rated h individual facetoface interview trained investigator tto score converted utility value visual analog scale va score obtained validate tto score scale death full mean utility elicited morning stiffness anchor h morning stiffness morning stiffness morning stiffness difference h statistically significant mean va utility score followed trend utility incrementally increased h associated shorter duration morning stiffness limitation research include potential bias tto method due discounting effect time scale compatibility loss aversion uk populationbased utility value show reduction morning stiffness duration ra associated improved hrqol despite impact morning stiffness hrqol rarely evaluated little known affected current treatment applied future costutility analysis healthcare intervention target improvement morning stiffness duration ra', 'functional capacity v side effect attribute consider individualising rheumatoid arthritis individualisation rheumatoid arthritis ra need take account individual increase patientcenteredness aim identify patientrelevant attribute consider individualising ra ra sweden invited rank attribute online april semistructured interview conducted october november identify frame potential attribute interview audiorecorded transcribed analysed thematic framework research partner rheumatologist supported selection framing attribute across assessment highest ranked attribute improved functional capacity reduced inflammation reduced pain fatigue getting severe side effect framework revealed two overarching theme exploration goal side effect goal emerged functional capacity revealing two dimension physical functional capacity psychosocial functional capacity side effect revealed mild severe side effect discus functional capacity physical psychosocial potential side effect mild severe attribute consider individualising ra future research ass ra weigh benefit risk order increase patientcenteredness early trajectory']
27	13	27_heart_heart failure_failure_hf	['heart', 'heart failure', 'failure', 'hf', 'acp', 'veteran', 'homebased', 'lst documentation', 'chfmps', 'advanced heart']	['family member experience improves documentation home based primary veteran administration va implemented comprehensive lifesustaining lst initiative provide training standardize documentation goal lst seriously ill veteran improve endoflife eol outcome lst documentation expected homebased primary hbpc veteran high hospitalization mortality retrospective crosssectional compared association bereaved family bfs eol rating lst documentation veteran died august september one va hbpc program regression modeling generated odds key bfs outcome lst template completion rate plotted month understand interaction time lst completion rate eol family rating lst documented hbpc veteran family member rated overall eol excellent veteran significant divergence bfs rating occurred last family member lst completers rating excellent compared veteran lacking lst documentation adjusted odds rating overall final month life excellent higher completed lst template ci higher rate lst documentation associated favorable rating eol initial month following implementation comprehensive initiative however lst documentation rate lower expected hbpc veteran following initial period implementation comprehensive national initiative promote veteran serious illness documented lst associated better family rating eol hbpc clinician improve bereaved family experience lsdti tool training elicit document', 'people advanced heart failure transition dependency death critically considers recent research identifying experience participation endoflife transition clinician typically experience significant difficulty engaging advanced heart failure discussion palliative endoflife involving advanced planning proposed approach ensure greater involvement endoflife management although evidence regarding effective intervention area limited policy initiative guideline appear reflect reality healthcare professional experience significant barrier transferring required knowledge skill practice notion transition process healthcare professional could use assessment management requires research offer focus heart failure management endoflife indicates need think carefully policy recommendation guidance relating participation endoflife effectively implemented practice need continuity involvement key worker identified regard transition also considered concept offer professional different approach assessment management heart failure longer period mean integrating heart failure management palliative', 'social workeraided palliative intervention highrisk heart failure swaphf pilot randomized palliative consideration typically introduced late trajectory advanced heart failure hf access specialtylevel palliative limited determine early initiation goal conversation palliative caretrained social worker would improve prognostic understanding elicit advanced influence plan highrisk discharged hf hospitalization prospective randomized social workerled palliative intervention v usual analyzed recently hospitalized management acute hf factor poor prognosis analysis conducted intention treat key component social workerled intervention included structured evaluation prognostic understanding endoflife symptom burden quality life routine palliative communication information treating clinician longitudinal followup ambulatory setting percentage physicianlevel documentation advanced degree alignment cardiologist expectation prognosis month population mean sd age year mean sd left ventricular ejection fraction hospitalized hf management within month enrollment enrollment treating physician anticipated death within year predicted life expectancy longer year month intervention group control group physicianlevel documentation advanced electronic record v surviving allocated intervention also likely revise baseline prognostic assessment direction consistent physician assessment v survivor month measured difference group depression anxiety qualityoflife score high mortality hf frequently overestimate life expectancy without adverse impact quality life prognostic understanding patientphysician communication regarding goal enhanced focused social workerled palliative intervention begin hospital continues outpatient setting clinicaltrialsgov identifier']
28	13	28_touch_ethical_professional_bioethics	['touch', 'ethical', 'professional', 'bioethics', 'intimate touch', 'belief value', 'moral', 'dialogue', 'fact', 'drinking swallowing']	['original research touch attitude intimate touch nursing although touch essential nursing practice investigated nurse perform task involving touch especially intimate touch involving private sometimes anxietyprovoking area body suggest concern intimate touch male female nurse sought elicit attitude layperson intimate touch provided nurse general male nurse particular maximumvariation sample adult selected semistructured interview conducted four focus group interview recorded transcribed thematic performed four theme emerged interview communicate give choice ask gender touch professionally fast slow said want contribute whether intimate touch necessary want information rapport nurse varied response question nurse gender said want firm rough touch nurse ensure privacy finding suggest nurse clinician provide intimate aware attitude touch research perspective warranted', 'understanding conscience integrity physician refer ethically controversial practice moral pluralism western democratic society ethical difference citizen professional due contrast foundational belief value ethical conviction rest difference challenging implication practice medicine seek access legal medical service conscientiously acting belief unethical disagreement raise pivotal question competing ethical value moral dynamic meaning conscience extent society accept ethical difference professional practice act referral focal point essay appears front line current debate legal contest extent society willing accommodate conscientious practice physician see referral way balance respect integrity promotion autonomy others see referral mistaken attempt compromise misunderstands meaning moral responsibility participation understanding conscience integrity help explain moral seriousness conscientious practice reinforces need professional legal accommodation respect', 'matter webbased elicitation tool client longterm usercentred design process longterm client often dependent informal support available information quality rating service however client take rating account considering preferred need assistance understand tool elicit longterm could beneficial therefore aim descriptive understand user requirement develop webbased elicitation tool client need longterm applied usercentred design endusers influence development tool included endusers client relative healthcare professional data collection took place november march mean meeting development team consisting four user walkthrough interview individual user videoaudio recording field note observation use tool data collected three phase iteration look feel navigation content deductive inductive content approach used data layout considered accessible easy look feel phase user asked neutral image user found navigation easy expressed need concise shorter text block user reached consensus category wished adjust content proposition wellbeing discussed linguistic difficulty incorporating requirement endusers usercentred design proved useful progressing prototype finalized tool matter tool assist elicitation client search longterm']
29	12	29_asthma_asthma service_multiple myeloma_content validity	['asthma', 'asthma service', 'multiple myeloma', 'content validity', 'attribute', 'acceptability content', 'lung function', 'asthma symptom', 'impact asthma', 'specialized asthma']	['asthma service australian pharmacy way ahead asthma longterm sustainability service requires understanding value aim evaluate well willingnesstopay wtp community pharmacydelivered specialized asthma service dce asthma new south wale australia recently experienced specialized asthma management service pharmacy mailed dce questionnaire asked choose two hypothetical service model varying attribute multinomial logit model estimated marginal wtp response rate greatly valued various aspect pharmacybased specialized service marginal wtp value private area lung function testing appointment pharmacist provision comprehensive advice asthma medication marginal wtp overall service finding indicate greatly willing pay asthma service pharmacy help pharmacist policy advisor development individualized asthma service use willing pay thus economically viable future', 'fit purpose asthma acceptability content validity perspective increasing emphasis patientreported outcome prompted greater rigor evidence support instrument used acceptability content validity property measure ensure ass relevant aspect target concept purpose evaluate acceptability content validity ass impact asthma life interview conducted adult asthma united kingdom first interview used cognitivedebriefing method ass relevance acceptability two asthmaspecific measure comparison asthmaspecific preferencebased measure asthma quality life utility dimension asthma symptom diary final interview combined concept elicitation identify patientperceived asthma impact cognitive debriefing ass relevance acceptability asthma symptom diary cognitivedebriefing feedback content measure collated summarized descriptively conceptelicitation data analyzed thematically aged female although expressed positive opinion aspect usual activity dimension consistently considered relevant asthma experience mobility selfcare dimension prompted strong negative reaction variation interpretation mobility dimension difficulty multiple concept paindiscomfort anxietydepression dimension also noted concept reported missing included environmental trigger asthma symptom emotion sleep least preferred measure describe impact asthma life reported shortness breath impact activity especially salient issue content poorly aligned patientperceived impact asthma measure failed meet basic standard acceptability content validity measure ass impact asthma perspective shortcoming identified raise concern regarding appropriateness asthma evaluation warranted', 'community pharmacy asthma service specialized community pharmacy service involving provision state management pharmacist developed trialled demonstrated good outcome service developed healthcare professional perspective however future uptake longterm sustainability service well better sustained outcome vital gain understanding structure healthcare service match need rather around viewpoint alone aim elicit pharmacybased specialized asthma service explore valueimportance place different attribute asthma service existence heterogeneity population also investigated conducted asthma recently experienced specialized asthma management service pharmacy new south wale australia pharmacist delivering asthma service mailed questionnaire participating end month service provision latent class lc model used investigate strength heterogeneity several key attribute related asthma service provision frequency visit access pharmacist interaction pharmacy staff availability private area consultation provision lung function testing type depth advice provision number day asthma symptom cost service eighty useable questionnaire questionnaire sent received response rate identified various key element asthma service lc revealed three class differing level asthma service provision minimalistic model class valued provision lung function testing preferred frequent service visit cost service negative effect service class partial model class mainly derived utility provision lung function testing comprehensive advice pharmacy also wanted frequent service visit holistic model class considered attribute service majority service attribute positive effect class cost service day symptom asthma negative effect service also preferred fewer service visit identified various key attribute respect community pharmacybased asthma service also demonstrate existence heterogeneity population asthma service provider need take finding consideration design development future service model increase uptake ensure longterm sustainability']
30	12	30____	['', '', '', '', '', '', '', '', '', '']	[' ', ' ', ' ']
31	11	31_privacy_sharing_autologous blood_data sharing	['privacy', 'sharing', 'autologous blood', 'data sharing', 'medical information', 'blood donation', 'donation', 'medical privacy', 'sharing platform', 'informed consent']	['benefit risk cost privacy pay multiple survey show want medical privacy however cost maintaining privacy also risk information previous survey found survey asked question privacy concern share medical information found one asked sharing medical information better asked cost comparison medical privacy privacy area fill gap designed compare medical privacy privacy area measure pay cost additional privacy measure measure accept risk sharing information total attending office site completed part anonymous questionnaire willing share medical information treating physician difference share primary specialty site including psychiatry hiv clinic difference sharing standard medical information information additional legal protection including genetic testing drugalcohol hiv medical privacy ranked lower sharing social security credit card number deemed private information including tax return handgun purchase statistical difference question site except hivaids clinic ranking privacy medical record reducing high medical cost medical error willing spend modest amount additional time privacy willing pay additional medical privacy unwilling take additional risk keep medical information hidden willing share medical information provider able see importance sharing medical information provide best possible unwilling hide information provider increased medical willing spend additional time privacy unwilling spend extra money sixtyeight percent favored reducing medical cost privacy', 'consent ethic blood management goal blood management pbm optimize outcome individual managing blood precious unique resource safeguarded managed judiciously corollary successful pbm minimization avoidance blood transfusion stewardship donated blood first achieved multidisciplinary approach personalized management plan decided substitute follows physicianpatient relationship integral component medical practice fundamental link doctor based trust honest communication central pbm accurate timely diagnosis based sound physiology pathophysiology bedrock scientifically based medicine founded pbm context start question status blood specific abnormality blood managed allogeneic blood transfusion considered reasonable alternative compelling scientific reason implement nontransfusion default position uncertainty questionable evidence efficacy allogeneic blood transfusion due known potential hazard must informed diagnosis nature severity prognosis option along risk benefit involved regarding management however part process multifaceted medical legal ethical economic issue encompassing informed consent furthermore variability circumstance complexity medical science working system consent take place bewildering also clinician obtaining consent adding concept blood management differentiates donor blood management avoid confusion perception pbm specific medical intervention personalized pbm tailoring pbm specific characteristic approach difficulty addressing informed consent ethical aspect pbm usually reassured nothing order blood case focus pbm keep way circumstance hematologist involved blood advocate abnormality require expert involvement primary managed', 'perception autologous blood donor public perception autologous blood donation transfusion worthwhile alternative allogeneic blood transfusion increased dramatically discovery human immunodeficiency virus however new concern raised outcome costeffectiveness procedure restrictive guideline autologous blood donation evolve opposition concerned exposure allogeneic blood arise physician ability reassure garner support restrictive policy requires understanding concern motivation perception currently participating autologous blood donation program investigated two questionnaire autologous blood donor presented questionnaire assessed demographic perception pay reaction different intervention designed decrease autologous blood donation expressed strong availability autologous blood indicated would willing pay substantial amount money even procedure covered insurance despite education low risk complication allogeneic transfusion aversion allogeneic transfusion pay autologous blood donation persisted reassured information better infectious testing recommendation autologous blood donation currently participating autologous blood donor program strongly prefer continued access procedure primarily remain concerned complication allogeneic transfusion significantly reassured despite increasingly rigorous costly improvement donor component screening']
32	11	32_nh lesson_shift attitude_implementing nh_josephwilliams colleague	['nh lesson', 'shift attitude', 'implementing nh', 'josephwilliams colleague', 'practice right', 'programme requires', 'requires shift', 'say natalie', 'nh', 'requires']	[' ', ' ', 'implementing nh lesson magic programme requires shift attitude level become part routine practice right support say natalie josephwilliams colleague']
